"Strains","row_id","Plate","PD2_blank","PD2Ca_blank","Variable","OD","Treatment","Day","Dataset"
"XF3348",16,2,0.109666666666667,0.107666666666667,"X5",0.0153333333333333,"PD2",0,"Set A"
"XF3348",16,2,0.109666666666667,0.107666666666667,"X6",0.0193333333333333,"PD2",0,"Set A"
"XF3348",16,2,0.109666666666667,0.107666666666667,"X7",0.0113333333333333,"PD2+Ca",0,"Set A"
"XF3348",16,2,0.109666666666667,0.107666666666667,"X8",0.00933333333333335,"PD2+Ca",0,"Set A"
"XF3348",16,2,0.109666666666667,0.107666666666667,"X9",0.0113333333333333,"PD2+Ca",0,"Set A"
"XF3348",16,2,0.109666666666667,0.107666666666667,"X10",0.0173333333333333,"PD2+Ca",0,"Set A"
"XF3348",16,2,0.109666666666667,0.107666666666667,"X11",0.0103333333333333,"PD2+Ca",0,"Set A"
"XF3348",16,2,0.109666666666667,0.107666666666667,"X12",0.00833333333333335,"PD2+Ca",0,"Set A"
"IVIA5901",17,2,0.109666666666667,0.107666666666667,"X1",0.00233333333333334,"PD2",0,"Set A"
"IVIA5901",17,2,0.109666666666667,0.107666666666667,"X2",0.00733333333333334,"PD2",0,"Set A"
"IVIA5901",17,2,0.109666666666667,0.107666666666667,"X3",0.00233333333333334,"PD2",0,"Set A"
"IVIA5901",17,2,0.109666666666667,0.107666666666667,"X4",0.00533333333333334,"PD2",0,"Set A"
"IVIA5901",17,2,0.109666666666667,0.107666666666667,"X5",0.00433333333333334,"PD2",0,"Set A"
"IVIA5901",17,2,0.109666666666667,0.107666666666667,"X6",0.00333333333333334,"PD2",0,"Set A"
"IVIA5901",17,2,0.109666666666667,0.107666666666667,"X7",0.00233333333333334,"PD2+Ca",0,"Set A"
"IVIA5901",17,2,0.109666666666667,0.107666666666667,"X8",0.00433333333333334,"PD2+Ca",0,"Set A"
"IVIA5901",17,2,0.109666666666667,0.107666666666667,"X9",0.00233333333333334,"PD2+Ca",0,"Set A"
"IVIA5901",17,2,0.109666666666667,0.107666666666667,"X10",0.00333333333333334,"PD2+Ca",0,"Set A"
"IVIA5901",17,2,0.109666666666667,0.107666666666667,"X11",0.00333333333333334,"PD2+Ca",0,"Set A"
"IVIA5901",17,2,0.109666666666667,0.107666666666667,"X12",0.00433333333333334,"PD2+Ca",0,"Set A"
"WM1-1",22,3,0.110416666666667,0.110416666666667,"X1",0.00958333333333333,"PD2",0,"Set A"
"WM1-1",22,3,0.110416666666667,0.110416666666667,"X2",0.00758333333333333,"PD2",0,"Set A"
"WM1-1",22,3,0.110416666666667,0.110416666666667,"X3",0.00558333333333334,"PD2",0,"Set A"
"WM1-1",22,3,0.110416666666667,0.110416666666667,"X4",0.00658333333333334,"PD2",0,"Set A"
"WM1-1",22,3,0.110416666666667,0.110416666666667,"X5",0.00958333333333333,"PD2",0,"Set A"
"WM1-1",22,3,0.110416666666667,0.110416666666667,"X6",0.00558333333333334,"PD2",0,"Set A"
"WM1-1",22,3,0.110416666666667,0.110416666666667,"X7",0.00158333333333334,"PD2+Ca",0,"Set A"
"WM1-1",22,3,0.110416666666667,0.110416666666667,"X8",0.00358333333333334,"PD2+Ca",0,"Set A"
"WM1-1",22,3,0.110416666666667,0.110416666666667,"X9",0.00258333333333334,"PD2+Ca",0,"Set A"
"WM1-1",22,3,0.110416666666667,0.110416666666667,"X10",0.00258333333333334,"PD2+Ca",0,"Set A"
"WM1-1",22,3,0.110416666666667,0.110416666666667,"X11",0.00258333333333334,"PD2+Ca",0,"Set A"
"WM1-1",22,3,0.110416666666667,0.110416666666667,"X12",0.00258333333333334,"PD2+Ca",0,"Set A"
"B3SN17.2",23,3,0.110416666666667,0.110416666666667,"X1",0.00258333333333334,"PD2",0,"Set A"
"B3SN17.2",23,3,0.110416666666667,0.110416666666667,"X2",0.00358333333333334,"PD2",0,"Set A"
"B3SN17.2",23,3,0.110416666666667,0.110416666666667,"X3",0.00858333333333333,"PD2",0,"Set A"
"B3SN17.2",23,3,0.110416666666667,0.110416666666667,"X4",0.00658333333333334,"PD2",0,"Set A"
"B3SN17.2",23,3,0.110416666666667,0.110416666666667,"X5",0.0105833333333333,"PD2",0,"Set A"
"B3SN17.2",23,3,0.110416666666667,0.110416666666667,"X6",0.0125833333333333,"PD2",0,"Set A"
"B3SN17.2",23,3,0.110416666666667,0.110416666666667,"X7",0.00658333333333334,"PD2+Ca",0,"Set A"
"B3SN17.2",23,3,0.110416666666667,0.110416666666667,"X8",0.00858333333333333,"PD2+Ca",0,"Set A"
"B3SN17.2",23,3,0.110416666666667,0.110416666666667,"X9",0.00758333333333333,"PD2+Ca",0,"Set A"
"B3SN17.2",23,3,0.110416666666667,0.110416666666667,"X10",0.00458333333333334,"PD2+Ca",0,"Set A"
"B3SN17.2",23,3,0.110416666666667,0.110416666666667,"X11",0.00358333333333334,"PD2+Ca",0,"Set A"
"B3SN17.2",23,3,0.110416666666667,0.110416666666667,"X12",0.00358333333333334,"PD2+Ca",0,"Set A"
"TemeculaL",24,3,0.110416666666667,0.110416666666667,"X1",0.00358333333333334,"PD2",0,"Set A"
"TemeculaL",24,3,0.110416666666667,0.110416666666667,"X2",0.00358333333333334,"PD2",0,"Set A"
"TemeculaL",24,3,0.110416666666667,0.110416666666667,"X3",0.0195833333333333,"PD2",0,"Set A"
"TemeculaL",24,3,0.110416666666667,0.110416666666667,"X4",0.0105833333333333,"PD2",0,"Set A"
"TemeculaL",24,3,0.110416666666667,0.110416666666667,"X5",0.0155833333333333,"PD2",0,"Set A"
"TemeculaL",24,3,0.110416666666667,0.110416666666667,"X6",0.0165833333333333,"PD2",0,"Set A"
"TemeculaL",24,3,0.110416666666667,0.110416666666667,"X7",0.00958333333333333,"PD2+Ca",0,"Set A"
"TemeculaL",24,3,0.110416666666667,0.110416666666667,"X8",0.0105833333333333,"PD2+Ca",0,"Set A"
"TemeculaL",24,3,0.110416666666667,0.110416666666667,"X9",0.0135833333333333,"PD2+Ca",0,"Set A"
"TemeculaL",24,3,0.110416666666667,0.110416666666667,"X10",0.0125833333333333,"PD2+Ca",0,"Set A"
"TemeculaL",24,3,0.110416666666667,0.110416666666667,"X11",0.00258333333333334,"PD2+Ca",0,"Set A"
"TemeculaL",24,3,0.110416666666667,0.110416666666667,"X12",0.00258333333333334,"PD2+Ca",0,"Set A"
"IVIA53872",25,3,0.110416666666667,0.110416666666667,"X1",0.00458333333333334,"PD2",0,"Set A"
"IVIA53872",25,3,0.110416666666667,0.110416666666667,"X2",0.00658333333333334,"PD2",0,"Set A"
"IVIA53872",25,3,0.110416666666667,0.110416666666667,"X3",0.0165833333333333,"PD2",0,"Set A"
"IVIA53872",25,3,0.110416666666667,0.110416666666667,"X4",0.0105833333333333,"PD2",0,"Set A"
"IVIA53872",25,3,0.110416666666667,0.110416666666667,"X5",0.0115833333333333,"PD2",0,"Set A"
"IVIA53872",25,3,0.110416666666667,0.110416666666667,"X6",0.0145833333333333,"PD2",0,"Set A"
"IVIA53872",25,3,0.110416666666667,0.110416666666667,"X7",0.0155833333333333,"PD2+Ca",0,"Set A"
"IVIA53872",25,3,0.110416666666667,0.110416666666667,"X8",0.0105833333333333,"PD2+Ca",0,"Set A"
"IVIA53872",25,3,0.110416666666667,0.110416666666667,"X9",0.0105833333333333,"PD2+Ca",0,"Set A"
"IVIA53872",25,3,0.110416666666667,0.110416666666667,"X10",0.0125833333333333,"PD2+Ca",0,"Set A"
"IVIA53872",25,3,0.110416666666667,0.110416666666667,"X11",0.00258333333333334,"PD2+Ca",0,"Set A"
"IVIA53872",25,3,0.110416666666667,0.110416666666667,"X12",0.00658333333333334,"PD2+Ca",0,"Set A"
"XF3348",26,3,0.110416666666667,0.110416666666667,"X1",0.0115833333333333,"PD2",0,"Set A"
"XF3348",26,3,0.110416666666667,0.110416666666667,"X2",0.0115833333333333,"PD2",0,"Set A"
"XF3348",26,3,0.110416666666667,0.110416666666667,"X3",0.0105833333333333,"PD2",0,"Set A"
"XF3348",26,3,0.110416666666667,0.110416666666667,"X4",0.0165833333333333,"PD2",0,"Set A"
"XF3348",26,3,0.110416666666667,0.110416666666667,"X5",0.0305833333333333,"PD2",0,"Set A"
"XF3348",26,3,0.110416666666667,0.110416666666667,"X6",0.00958333333333333,"PD2",0,"Set A"
"XF3348",26,3,0.110416666666667,0.110416666666667,"X7",0.0155833333333333,"PD2+Ca",0,"Set A"
"XF3348",26,3,0.110416666666667,0.110416666666667,"X8",0.0165833333333333,"PD2+Ca",0,"Set A"
"XF3348",26,3,0.110416666666667,0.110416666666667,"X9",0.0215833333333333,"PD2+Ca",0,"Set A"
"XF3348",26,3,0.110416666666667,0.110416666666667,"X10",0.0155833333333333,"PD2+Ca",0,"Set A"
"XF3348",26,3,0.110416666666667,0.110416666666667,"X11",0.00758333333333333,"PD2+Ca",0,"Set A"
"XF3348",26,3,0.110416666666667,0.110416666666667,"X12",0.00258333333333334,"PD2+Ca",0,"Set A"
"IVIA5901",27,3,0.110416666666667,0.110416666666667,"X1",0.00158333333333334,"PD2",0,"Set A"
"IVIA5901",27,3,0.110416666666667,0.110416666666667,"X2",0.00258333333333334,"PD2",0,"Set A"
"IVIA5901",27,3,0.110416666666667,0.110416666666667,"X3",0.00258333333333334,"PD2",0,"Set A"
"IVIA5901",27,3,0.110416666666667,0.110416666666667,"X4",0.0105833333333333,"PD2",0,"Set A"
"IVIA5901",27,3,0.110416666666667,0.110416666666667,"X5",0.00258333333333334,"PD2",0,"Set A"
"IVIA5901",27,3,0.110416666666667,0.110416666666667,"X6",0.00358333333333334,"PD2",0,"Set A"
"IVIA5901",27,3,0.110416666666667,0.110416666666667,"X7",0.00758333333333333,"PD2+Ca",0,"Set A"
"IVIA5901",27,3,0.110416666666667,0.110416666666667,"X8",0.00458333333333334,"PD2+Ca",0,"Set A"
"IVIA5901",27,3,0.110416666666667,0.110416666666667,"X9",0.00358333333333334,"PD2+Ca",0,"Set A"
"IVIA5901",27,3,0.110416666666667,0.110416666666667,"X10",0.00558333333333334,"PD2+Ca",0,"Set A"
"IVIA5901",27,3,0.110416666666667,0.110416666666667,"X11",0.00558333333333334,"PD2+Ca",0,"Set A"
"IVIA5901",27,3,0.110416666666667,0.110416666666667,"X12",0.00258333333333334,"PD2+Ca",0,"Set A"
"WM1-1",2,1,0.108416666666667,0.11,"X1",0.00258333333333334,"PD2",1,"Set A"
"WM1-1",2,1,0.108416666666667,0.11,"X2",0.0135833333333333,"PD2",1,"Set A"
"WM1-1",2,1,0.108416666666667,0.11,"X3",0.00758333333333334,"PD2",1,"Set A"
"WM1-1",2,1,0.108416666666667,0.11,"X4",0.00958333333333333,"PD2",1,"Set A"
"WM1-1",2,1,0.108416666666667,0.11,"X5",0.00258333333333334,"PD2",1,"Set A"
"WM1-1",2,1,0.108416666666667,0.11,"X6",0.00458333333333334,"PD2",1,"Set A"
"WM1-1",2,1,0.108416666666667,0.11,"X7",-0.00600000000000001,"PD2+Ca",1,"Set A"
"WM1-1",2,1,0.108416666666667,0.11,"X8",0,"PD2+Ca",1,"Set A"
"WM1-1",2,1,0.108416666666667,0.11,"X9",0.001,"PD2+Ca",1,"Set A"
"WM1-1",2,1,0.108416666666667,0.11,"X10",0.001,"PD2+Ca",1,"Set A"
"WM1-1",2,1,0.108416666666667,0.11,"X11",0.001,"PD2+Ca",1,"Set A"
"WM1-1",2,1,0.108416666666667,0.11,"X12",0,"PD2+Ca",1,"Set A"
"B3SN17.2",3,1,0.108416666666667,0.11,"X1",0.0105833333333333,"PD2",1,"Set A"
"B3SN17.2",3,1,0.108416666666667,0.11,"X2",0.0215833333333333,"PD2",1,"Set A"
"B3SN17.2",3,1,0.108416666666667,0.11,"X3",0.0225833333333333,"PD2",1,"Set A"
"B3SN17.2",3,1,0.108416666666667,0.11,"X4",0.00858333333333335,"PD2",1,"Set A"
"B3SN17.2",3,1,0.108416666666667,0.11,"X5",0.00758333333333334,"PD2",1,"Set A"
"B3SN17.2",3,1,0.108416666666667,0.11,"X6",0.00858333333333335,"PD2",1,"Set A"
"B3SN17.2",3,1,0.108416666666667,0.11,"X7",0.002,"PD2+Ca",1,"Set A"
"B3SN17.2",3,1,0.108416666666667,0.11,"X8",0.003,"PD2+Ca",1,"Set A"
"B3SN17.2",3,1,0.108416666666667,0.11,"X9",0.002,"PD2+Ca",1,"Set A"
"B3SN17.2",3,1,0.108416666666667,0.11,"X10",0.01,"PD2+Ca",1,"Set A"
"B3SN17.2",3,1,0.108416666666667,0.11,"X11",0.001,"PD2+Ca",1,"Set A"
"B3SN17.2",3,1,0.108416666666667,0.11,"X12",0.004,"PD2+Ca",1,"Set A"
"TemeculaL",4,1,0.108416666666667,0.11,"X1",0.00558333333333334,"PD2",1,"Set A"
"TemeculaL",4,1,0.108416666666667,0.11,"X2",0.0275833333333333,"PD2",1,"Set A"
"TemeculaL",4,1,0.108416666666667,0.11,"X3",0.0235833333333333,"PD2",1,"Set A"
"TemeculaL",4,1,0.108416666666667,0.11,"X4",0.0155833333333333,"PD2",1,"Set A"
"TemeculaL",4,1,0.108416666666667,0.11,"X5",0.0145833333333333,"PD2",1,"Set A"
"TemeculaL",4,1,0.108416666666667,0.11,"X6",0.00158333333333334,"PD2",1,"Set A"
"TemeculaL",4,1,0.108416666666667,0.11,"X7",-0.001,"PD2+Ca",1,"Set A"
"TemeculaL",4,1,0.108416666666667,0.11,"X8",0.001,"PD2+Ca",1,"Set A"
"TemeculaL",4,1,0.108416666666667,0.11,"X9",0.004,"PD2+Ca",1,"Set A"
"TemeculaL",4,1,0.108416666666667,0.11,"X10",0.015,"PD2+Ca",1,"Set A"
"TemeculaL",4,1,0.108416666666667,0.11,"X11",0.00799999999999999,"PD2+Ca",1,"Set A"
"TemeculaL",4,1,0.108416666666667,0.11,"X12",0.014,"PD2+Ca",1,"Set A"
"IVIA53872",5,1,0.108416666666667,0.11,"X1",0.0105833333333333,"PD2",1,"Set A"
"IVIA53872",5,1,0.108416666666667,0.11,"X2",0.0355833333333333,"PD2",1,"Set A"
"IVIA53872",5,1,0.108416666666667,0.11,"X3",0.0215833333333333,"PD2",1,"Set A"
"IVIA53872",5,1,0.108416666666667,0.11,"X4",0.0155833333333333,"PD2",1,"Set A"
"IVIA53872",5,1,0.108416666666667,0.11,"X5",0.00658333333333334,"PD2",1,"Set A"
"IVIA53872",5,1,0.108416666666667,0.11,"X6",0.00358333333333334,"PD2",1,"Set A"
"IVIA53872",5,1,0.108416666666667,0.11,"X7",0.003,"PD2+Ca",1,"Set A"
"IVIA53872",5,1,0.108416666666667,0.11,"X8",0,"PD2+Ca",1,"Set A"
"IVIA53872",5,1,0.108416666666667,0.11,"X9",0.00600000000000001,"PD2+Ca",1,"Set A"
"IVIA53872",5,1,0.108416666666667,0.11,"X10",0.00600000000000001,"PD2+Ca",1,"Set A"
"IVIA53872",5,1,0.108416666666667,0.11,"X11",0.005,"PD2+Ca",1,"Set A"
"IVIA53872",5,1,0.108416666666667,0.11,"X12",0.003,"PD2+Ca",1,"Set A"
